"stop_outcome","ticket_count","warning_count","stop_district","stop_duration_mins","person_searched","property_searched","traffic_involved","gender","ethnicity","age","primary_stop_reason","day_of_week","time_category"
"Ticket",0,0,"7D",15,"0","0","1","Female","Black",27,"traffic response","Sun","Night"
"No Action",0,0,"7D",13,"0","0","0","Male","Multiple",30,"traffic response","Sun","Night"
"No Action",0,0,"4D",10,"0","0","0","Male","Black",25,"traffic response","Sun","Night"
"Arrest",0,0,"6D",5,"1","0","0","Male","Hispanic/Latino",22,"call for service","Sun","Night"
"No Action",0,0,"5D",20,"1","1","0","Male","Black",50,"officer initiated","Sun","Night"
"No Action",0,0,"5D",15,"1","1","0","Male","Black",30,"traffic response","Sun","Night"
"Arrest",0,0,"7D",15,"0","0","0","Female","Black",40,"responding to individual's actions","Sun","Night"
"Arrest",0,0,"4D",30,"0","0","1","Male","Hispanic/Latino",32,"traffic response","Sun","Night"
"No Action",0,0,"3D",40,"0","0","0","Female","White",39,"call for service","Sun","Night"
"No Action",0,0,"2D",47,"1","1","0","Male","Black",35,"call for service","Sat","Night"
"No Action",0,0,"7D",9,"1","0","0","Male","Black",28,"demeanor during a field contact","Sun","Night"
"No Action",0,0,"3D",19,"0","0","0","Male","Black",45,"responding to individual's actions","Sat","Afternoon"
"No Action",0,0,"3D",9,"0","0","0","Male","Black",26,"call for service","Sat","Afternoon"
"Ticket",0,0,"NA",10,"0","0","1","Female","Black",26,"officer initiated","Sat","Night"
"Ticket",0,0,"2D",10,"0","0","1","Female","Black",31,"officer initiated","Sat","Evening"
"Ticket",0,0,"NA",10,"0","0","1","Male","Black",58,"officer initiated","Sat","Night"
"Ticket",0,0,"7D",30,"0","0","1","Male","Black",NA,"call for service","Sat","Morning"
"Ticket",0,0,"NA",10,"0","0","1","Male","Black",70,"officer initiated","Sat","Night"
"Ticket",0,0,"4D",10,"0","0","1","Male","Hispanic/Latino",35,"officer initiated","Sat","Night"
"Ticket",0,0,"4D",10,"0","0","1","Male","Black",63,"traffic response","Sun","Night"
"Ticket",0,0,"NA",10,"0","0","1","Male","Black",68,"officer initiated","Sat","Night"
"Ticket",0,0,"NA",20,"0","0","1","Male","Black",29,"officer initiated","Sat","Night"
"Ticket",0,0,"1D",10,"0","0","1","Male","Black",36,"officer initiated","Sun","Night"
"Ticket",0,0,"1D",6,"0","0","1","Male","Black",NA,"officer initiated","Sat","Afternoon"
"Ticket",0,0,"NA",20,"0","0","1","Female","Black",32,"officer initiated","Sun","Night"
"Ticket",0,0,"NA",10,"0","0","1","Male","Hispanic/Latino",25,"officer initiated","Sat","Night"
"Ticket",0,0,"NA",10,"0","0","1","Male","Black",23,"officer initiated","Sun","Night"
"Warning",0,0,"7D",15,"0","0","1","Female","Black",20,"officer initiated","Sat","Night"
"Warning",0,0,"3D",10,"0","0","1","Male","Black",31,"officer initiated","Sat","Night"
"Ticket",0,0,"1D",40,"0","0","1","Male","Black",NA,"call for service","Sat","Night"
"Ticket",0,0,"6D",25,"0","0","1","Female","Black",NA,"traffic response","Sat","Afternoon"
"Ticket",0,0,"NA",10,"0","0","1","Male","White",45,"officer initiated","Sat","Night"
"Ticket",0,0,"NA",10,"0","0","1","Female","Black",29,"officer initiated","Sun","Night"
"Ticket",0,0,"2D",10,"0","0","1","Male","Black",52,"officer initiated","Sat","Evening"
"Warning",0,0,"2D",15,"0","0","1","Female","Hispanic/Latino",22,"officer initiated","Sat","Morning"
"Warning",0,0,"2D",5,"0","0","1","Male","Black",24,"officer initiated","Sun","Night"
"Ticket",0,0,"2D",5,"0","0","1","Male","White",28,"officer initiated","Sun","Night"
"Warning",0,0,"2D",15,"0","0","1","Male","Black",26,"officer initiated","Sat","Afternoon"
"Ticket",0,0,"2D",15,"0","0","1","Male","Unknown",26,"call for service","Sun","Night"
"Ticket",0,0,"7D",15,"0","0","1","Female","Black",26,"officer initiated","Sun","Night"
"Ticket",0,0,"NA",20,"0","0","1","Male","Black",26,"officer initiated","Sat","Night"
"Ticket",0,0,"2D",10,"0","0","1","Male","White",32,"officer initiated","Sat","Evening"
"Ticket",0,0,"2D",10,"0","0","1","Male","Asian",24,"officer initiated","Sat","Evening"
"Warning",0,0,"4D",10,"0","0","1","Male","Black",46,"officer initiated","Sat","Morning"
"Warning",0,0,"3D",25,"0","0","1","Male","Hispanic/Latino",51,"officer initiated","Sat","Evening"
"Warning",0,0,"5D",25,"0","0","1","Male","Hispanic/Latino",50,"officer initiated","Sat","Afternoon"
"Warning",0,0,"1D",10,"0","0","1","Male","White",44,"officer initiated","Sun","Night"
"Ticket",0,0,"2D",15,"0","0","1","Unknown","Unknown",NA,"officer initiated","Sat","Afternoon"
"Ticket",0,0,"6D",10,"0","0","1","Female","Black",30,"traffic response","Sat","Afternoon"
"Ticket",0,0,"NA",10,"0","0","1","Male","Black",42,"officer initiated","Sat","Night"
"Ticket",0,0,"2D",5,"0","0","1","Male","Black",23,"officer initiated","Sun","Night"
"Ticket",0,0,"2D",10,"0","0","1","Male","Asian",20,"officer initiated","Sat","Night"
"Warning",0,0,"3D",10,"0","0","1","Male","Hispanic/Latino",20,"officer initiated","Sat","Night"
"Warning",0,0,"2D",15,"0","0","1","Female","White",26,"officer initiated","Sat","Morning"
"Ticket",0,0,"5D",25,"0","0","1","Male","White",26,"officer initiated","Sat","Afternoon"
"Warning",0,0,"3D",10,"0","0","1","Female","Unknown",27,"call for service","Sat","Afternoon"
"Warning",0,0,"2D",10,"0","0","1","Male","White",28,"officer initiated","Sat","Night"
"Ticket",0,0,"3D",25,"0","0","1","Male","Black",58,"officer initiated","Sat","Evening"
"Ticket",0,0,"7D",15,"0","0","1","Male","Black",33,"officer initiated","Sun","Night"
"Warning",0,0,"3D",10,"0","0","1","Female","Black",32,"officer initiated","Sat","Afternoon"
"Ticket",0,0,"2D",5,"0","0","1","Female","White",24,"officer initiated","Sun","Night"
"Warning",0,0,"2D",10,"0","0","1","Male","Unknown",24,"officer initiated","Sat","Night"
"Ticket",0,0,"2D",10,"0","0","1","Male","Hispanic/Latino",24,"officer initiated","Sat","Night"
"Ticket",0,0,"NA",10,"0","0","1","Male","Black",39,"officer initiated","Sun","Night"
"Warning",0,0,"3D",10,"0","0","1","Male","Black",22,"officer initiated","Sun","Night"
"Warning",0,0,"2D",10,"0","0","1","Male","Black",17,"officer initiated","Sat","Night"
"Ticket",0,0,"NA",10,"0","0","1","Male","Black",29,"officer initiated","Sat","Night"
"Ticket",0,0,"7D",5,"0","0","1","Male","Black",30,"officer initiated","Sat","Afternoon"
"Warning",0,0,"5D",10,"0","0","1","Male","Asian",26,"officer initiated","Sat","Afternoon"
"Ticket",0,0,"3D",25,"0","0","1","Male","Hispanic/Latino",22,"officer initiated","Sat","Afternoon"
"Warning",0,0,"2D",5,"0","0","1","Male","Black",55,"officer initiated","Sun","Night"
"Warning",0,0,"4D",20,"0","0","1","Male","Hispanic/Latino",30,"officer initiated","Sat","Evening"
"Ticket",0,0,"2D",10,"0","0","1","Male","Hispanic/Latino",41,"officer initiated","Sat","Evening"
"No Action",0,0,"2D",75,"1","1","0","Male","Unknown",25,"information obtained from law enforcement sources","Sun","Night"
"No Action",0,0,"3D",2,"1","1","0","Female","Black",21,"responding to bolo","Sun","Morning"
"No Action",0,0,"6D",5,"0","0","0","Male","Black",32,"traffic response","Sun","Morning"
"No Action",0,0,"7D",5,"0","0","0","Female","Black",NA,"call for service","Mon","Night"
"Arrest",0,0,"5D",5,"0","0","1","Female","Black",37,"call for service","Sun","Morning"
"No Action",0,0,"6D",19,"0","0","0","Female","Black",59,"responding to individual's actions","Sun","Morning"
"Ticket",0,0,"3D",5,"1","1","1","Male","Black",28,"traffic response","Sun","Night"
"Arrest",0,0,"5D",7,"0","0","0","Male","Black",64,"call for service","Sun","Morning"
"Arrest",0,0,"3D",40,"0","0","0","Female","Black",35,"information obtained from witnesses or informants","Sun","Morning"
"No Action",0,0,"2D",5,"0","0","0","Male","White",23,"responding to individual's actions","Sun","Morning"
"Arrest",0,0,"2D",5,"0","0","0","Male","Black",27,"responding to individual's actions","Sun","Morning"
"Arrest",0,0,"7D",39,"0","0","0","Male","Black",33,"call for service","Sun","Afternoon"
"Arrest",0,0,"7D",5,"0","0","0","Male","Black",40,"call for service","Sun","Afternoon"
"No Action",0,0,"5D",62,"0","0","0","Male","Black",43,"call for service","Sun","Evening"
"No Action",0,0,"4D",5,"0","0","0","Male","Black",30,"call for service","Sun","Evening"
"Arrest",0,0,"4D",34,"0","0","0","Male","Black",23,"call for service","Sun","Evening"
"Arrest",0,0,"1D",10,"0","0","0","Female","Black",37,"responding to individual's actions","Sun","Evening"
"No Action",0,0,"2D",80,"0","0","0","Female","White",14,"call for service","Sun","Evening"
"Arrest",0,0,"6D",15,"0","0","0","Male","Black",53,"responding to bolo","Sun","Night"
"Arrest",0,0,"3D",10,"0","0","0","Male","Black",32,"call for service","Sun","Night"
"Arrest",0,0,"7D",10,"0","0","0","Male","Unknown",73,"responding to bolo","Sun","Night"
"Arrest",0,0,"6D",7,"1","0","0","Male","Black",19,"responding to individual's actions","Sun","Night"
"No Action",0,0,"7D",11,"0","0","0","Male","Hispanic/Latino",34,"call for service","Sun","Night"
"No Action",0,0,"5D",35,"1","1","0","Male","Black",20,"call for service","Sun","Night"
"Arrest",0,0,"4D",30,"1","0","0","Male","Hispanic/Latino",17,"call for service","Sun","Night"
"No Action",0,0,"6D",7,"1","0","0","Male","Black",33,"traffic response","Sun","Night"
"No Action",0,0,"7D",5,"1","0","0","Male","White",36,"call for service","Sun","Night"
"No Action",0,0,"6D",2,"1","0","0","Male","Black",NA,"officer initiated","Sun","Night"
"No Action",0,0,"6D",2,"0","0","0","Male","Black",27,"officer initiated","Sun","Night"
"Arrest",0,0,"7D",15,"0","0","1","Female","Black",30,"call for service","Sun","Night"
"No Action",0,0,"6D",7,"1","1","0","Male","Black",20,"officer initiated","Sun","Night"
"Arrest",0,0,"6D",11,"0","0","0","Male","Black",40,"call for service","Sun","Night"
"No Action",0,0,"6D",10,"0","0","0","Male","Black",51,"responding to individual's actions","Sun","Night"
"No Action",0,0,"6D",3,"1","0","0","Male","Black",NA,"responding to individual's actions","Sun","Night"
"No Action",0,0,"6D",5,"1","0","0","Male","Black",44,"officer initiated","Sun","Night"
"No Action",0,0,"6D",3,"1","0","0","Male","Black",28,"officer initiated","Sun","Night"
"No Action",0,0,"6D",5,"1","0","0","Male","Black",36,"officer initiated","Sun","Night"
"Arrest",0,0,"7D",15,"0","0","0","Male","Hispanic/Latino",34,"responding to bolo","Mon","Night"
"Arrest",0,0,"3D",30,"0","0","1","Female","Black",24,"call for service","Mon","Night"
"No Action",0,0,"5D",28,"0","0","0","Male","Black",60,"traffic response","Sun","Night"
"No Action",0,0,"4D",20,"1","0","0","Male","Hispanic/Latino",18,"call for service","Sun","Night"
"No Action",0,0,"6D",5,"0","0","0","Male","Black",30,"traffic response","Sun","Night"
"Arrest",0,0,"7D",180,"0","0","0","Male","Black",53,"call for service","Mon","Night"
"Arrest",0,0,"7D",20,"0","0","1","Female","Black",28,"responding to individual's actions","Mon","Night"
"No Action",0,0,"3D",110,"1","0","0","Male","Black",21,"call for service","Mon","Night"
"Arrest",0,0,"2D",18,"0","0","0","Male","Black",30,"call for service","Sun","Night"
"Arrest",0,0,"7D",120,"0","0","0","Male","Black",63,"call for service","Mon","Night"
"Arrest",0,0,"3D",44,"1","0","0","Male","Black",16,"responding to individual's actions","Mon","Night"
"Arrest",0,0,"3D",44,"1","0","0","Male","Black",16,"responding to individual's actions","Mon","Night"
"No Action",0,0,"5D",55,"0","0","0","Male","Black",NA,"call for service","Mon","Night"
"No Action",0,0,"1D",30,"0","0","0","Male","Black",54,"responding to bolo","Mon","Night"
"No Action",0,0,"6D",8,"0","0","0","Male","Black",NA,"responding to bolo","Sun","Afternoon"
"No Action",0,0,"3D",10,"1","0","0","Male","Black",41,"demeanor during a field contact","Mon","Night"
"Ticket",0,0,"1D",5,"0","0","1","Female","White",30,"officer initiated","Mon","Night"
"Warning",0,0,"3D",10,"0","0","1","Unknown","Unknown",42,"officer initiated","Sun","Afternoon"
"No Action",0,0,"4D",10,"0","0","1","Female","Black",23,"call for service","Sun","Morning"
"Ticket",0,0,"3D",30,"0","0","1","Male","Hispanic/Latino",29,"call for service","Sun","Evening"
"Ticket",0,0,"NA",20,"0","0","1","Male","Hispanic/Latino",40,"call for service","Sun","Evening"
"Ticket",0,0,"4D",10,"0","0","1","Female","Black",24,"officer initiated","Mon","Night"
"Warning",0,0,"3D",10,"0","0","1","Male","Black",43,"officer initiated","Sun","Morning"
"Warning",0,0,"3D",25,"0","0","1","Male","Black",24,"officer initiated","Sun","Morning"
"Ticket",0,0,"2D",10,"0","0","1","Female","Black",23,"officer initiated","Sun","Night"
"Ticket",0,0,"4D",45,"0","0","1","Female","Hispanic/Latino",31,"call for service","Sun","Evening"
"Warning",0,0,"3D",10,"0","0","1","Male","Black",36,"officer initiated","Sun","Night"
"Ticket",0,0,"1D",10,"0","0","1","Female","Black",21,"officer initiated","Sun","Morning"
"Ticket",0,0,"4D",10,"0","0","1","Female","Black",51,"call for service","Sun","Night"
"Warning",0,0,"4D",10,"0","0","1","Male","Black",31,"officer initiated","Sun","Afternoon"
"Warning",0,0,"4D",20,"0","0","1","Female","Black",17,"call for service","Sun","Night"
"Warning",0,0,"4D",10,"0","0","1","Male","Black",29,"officer initiated","Sun","Afternoon"
"Ticket",0,0,"4D",15,"0","0","1","Male","Black",34,"traffic response","Sun","Afternoon"
"Ticket",0,0,"1D",10,"0","0","1","Female","Black",NA,"officer initiated","Sun","Afternoon"
"Ticket",0,0,"6D",15,"0","0","1","Male","Black",NA,"traffic response","Sun","Night"
"Warning",0,0,"3D",10,"0","0","1","Male","White",NA,"officer initiated","Sun","Night"
"Ticket",0,0,"4D",10,"0","0","1","Male","Hispanic/Latino",44,"officer initiated","Sun","Evening"
"Ticket",0,0,"NA",14,"0","0","1","Male","Black",29,"traffic response","Sun","Night"
"No Action",0,0,"7D",5,"0","0","0","Male","Black",47,"call for service","Tue","Night"
"Arrest",0,0,"7D",2,"1","1","0","Male","Black",29,"call for service","Mon","Night"
"Arrest",0,0,"5D",50,"0","0","0","Male","Black",34,"call for service","Mon","Night"
"Arrest",0,0,"2D",20,"0","0","0","Male","Black",NA,"responding to individual's actions","Mon","Morning"
"No Action",0,0,"4D",33,"0","0","0","Male","Hispanic/Latino",33,"call for service","Mon","Morning"
"Arrest",0,0,"1D",20,"0","0","0","Male","Multiple",27,"call for service","Mon","Morning"
"No Action",0,0,"3D",10,"0","0","0","Male","Black",43,"call for service","Mon","Night"
"No Action",0,0,"3D",10,"0","0","0","Male","White",35,"call for service","Mon","Night"
"Arrest",0,0,"4D",20,"1","0","0","Female","Hispanic/Latino",30,"call for service","Mon","Morning"
"Arrest",0,0,"7D",20,"0","0","0","Female","Black",15,"call for service","Mon","Morning"
"Arrest",0,0,"7D",91,"0","0","0","Male","Black",26,"responding to individual's actions","Mon","Morning"
"Arrest",0,0,"1D",32,"1","0","1","Male","Black",37,"responding to individual's actions","Mon","Morning"
"Arrest",0,0,"6D",1,"0","0","0","Male","Black",41,"warrant/court order","Mon","Morning"
"No Action",0,0,"4D",25,"0","0","0","Male","Black",54,"responding to bolo","Mon","Morning"
"No Action",0,0,"4D",25,"0","0","0","Female","White",43,"responding to bolo","Mon","Morning"
"Arrest",0,0,"2D",29,"1","0","0","Male","Black",40,"call for service","Mon","Morning"
"Arrest",0,0,"6D",1,"0","0","0","Male","Black",43,"warrant/court order","Mon","Afternoon"
"Arrest",0,0,"1D",10,"0","0","1","Female","White",36,"call for service","Mon","Morning"
"No Action",0,0,"1D",6,"0","0","0","Female","Black",15,"call for service","Mon","Afternoon"
"No Action",0,0,"1D",6,"0","0","0","Male","Black",18,"call for service","Mon","Afternoon"
"Arrest",0,0,"1D",6,"0","0","0","Male","Black",18,"call for service","Mon","Afternoon"
"Arrest",0,0,"4D",10,"0","0","0","Male","Black",55,"warrant/court order","Mon","Afternoon"
"Arrest",0,0,"6D",5,"0","0","0","Male","Black",63,"warrant/court order","Mon","Afternoon"
"Arrest",0,0,"2D",15,"0","0","1","Female","Black",40,"traffic response","Mon","Evening"
"Arrest",0,0,"3D",10,"0","0","0","Male","Black",34,"call for service","Mon","Evening"
"Arrest",0,0,"7D",20,"0","0","0","Male","Black",40,"responding to individual's actions","Mon","Afternoon"
"Arrest",0,0,"6D",10,"0","0","0","Male","Black",18,"responding to bolo","Mon","Afternoon"
"No Action",0,0,"1D",5,"0","0","0","Male","Black",NA,"call for service","Mon","Evening"
"No Action",0,0,"1D",5,"0","0","0","Female","Black",NA,"call for service","Mon","Evening"
"Arrest",0,0,"6D",4,"0","0","0","Male","Black",34,"information obtained from law enforcement sources","Mon","Evening"
"Arrest",0,0,"7D",20,"0","0","0","Male","Black",29,"responding to bolo","Mon","Evening"
"No Action",0,0,"7D",20,"1","0","0","Male","Black",69,"call for service","Mon","Evening"
"Arrest",0,0,"6D",30,"0","0","0","Male","Black",28,"call for service","Mon","Evening"
"No Action",0,0,"7D",10,"0","0","0","Male","Black",60,"responding to individual's actions","Mon","Afternoon"
"No Action",0,0,"7D",10,"0","0","0","Male","Black",23,"responding to individual's actions","Mon","Afternoon"
"No Action",0,0,"1D",3,"0","0","0","Male","Black",24,"responding to individual's actions","Mon","Evening"
"No Action",0,0,"4D",50,"1","1","0","Male","Black",63,"call for service","Mon","Evening"
"No Action",0,0,"7D",13,"0","0","0","Male","Black",43,"call for service","Mon","Evening"
"Arrest",0,0,"6D",30,"0","0","0","Female","Black",18,"call for service","Mon","Evening"
"No Action",0,0,"6D",30,"0","0","0","Male","Black",69,"call for service","Mon","Night"
"Arrest",0,0,"7D",20,"0","0","0","Female","Black",23,"information obtained from witnesses or informants","Mon","Night"
"Arrest",0,0,"1D",10,"0","0","0","Male","Black",36,"call for service","Mon","Night"
"Arrest",0,0,"2D",29,"1","0","0","Male","Black",34,"responding to bolo","Mon","Evening"
"Arrest",0,0,"4D",15,"0","0","1","Male","Black",29,"traffic response","Mon","Night"
"Arrest",0,0,"2D",15,"0","0","1","Male","Black",24,"traffic response","Mon","Night"
"Arrest",0,0,"4D",10,"0","0","1","Male","Black",37,"responding to individual's actions","Mon","Night"
"No Action",0,0,"7D",33,"0","0","0","Male","Black",23,"call for service","Mon","Evening"
"No Action",0,0,"2D",10,"0","0","0","Female","Multiple",19,"call for service","Mon","Night"
"Arrest",0,0,"6D",3,"0","0","0","Female","Black",18,"call for service","Mon","Night"
"No Action",0,0,"5D",53,"1","0","0","Male","Black",26,"call for service","Mon","Night"
"Arrest",0,0,"5D",53,"1","1","1","Male","Black",26,"call for service","Mon","Night"
"Arrest",0,0,"5D",40,"0","0","1","Male","Black",45,"responding to individual's actions","Mon","Night"
"Arrest",0,0,"4D",20,"1","0","0","Male","Black",41,"officer initiated","Mon","Night"
"No Action",0,0,"5D",20,"1","0","0","Male","Black",30,"demeanor during a field contact","Mon","Night"
"Arrest",0,0,"6D",83,"0","0","0","Male","Black",46,"call for service","Tue","Night"
"No Action",0,0,"1D",15,"0","0","0","Male","Black",27,"demeanor during a field contact","Tue","Night"
"Arrest",0,0,"1D",17,"0","0","0","Male","Black",32,"call for service","Mon","Night"
"No Action",0,0,"7D",4,"1","0","0","Male","Black",31,"responding to individual's actions","Mon","Night"
"Arrest",0,0,"2D",25,"0","0","0","Male","Black",50,"call for service","Tue","Night"
"No Action",0,0,"6D",7,"0","0","0","Female","White",NA,"traffic response","Mon","Night"
"No Action",0,0,"6D",7,"1","1","0","Male","Black",38,"traffic response","Mon","Night"
"Arrest",0,0,"7D",20,"0","0","0","Male","Black",54,"call for service","Tue","Night"
"No Action",0,0,"4D",20,"1","0","0","Male","Black",26,"call for service","Tue","Night"
"Arrest",0,0,"7D",8,"0","0","1","Male","Black",37,"demeanor during a field contact","Tue","Night"
"No Action",0,0,"1D",14,"0","0","0","Male","Black",76,"call for service","Mon","Night"
"No Action",0,0,"1D",14,"0","0","0","Female","Black",38,"call for service","Mon","Night"
"No Action",0,0,"7D",10,"1","0","0","Male","Black",14,"responding to individual's actions","Mon","Night"
"No Action",0,0,"7D",70,"1","0","0","Male","Multiple",15,"responding to individual's actions","Mon","Night"
"No Action",0,0,"7D",5,"1","0","0","Male","Black",22,"officer initiated","Mon","Night"
"No Action",0,0,"6D",4,"1","0","0","Unknown","Unknown",NA,"responding to individual's actions","Mon","Night"
"Arrest",0,0,"5D",15,"0","0","0","Male","Black",37,"call for service","Tue","Night"
"No Action",0,0,"6D",2,"1","0","0","Unknown","Unknown",NA,"responding to individual's actions","Mon","Night"
"No Action",0,0,"7D",23,"0","0","0","Female","Black",42,"call for service","Tue","Night"
"No Action",0,0,"3D",6,"1","0","0","Male","Black",NA,"responding to individual's actions","Tue","Night"
"Arrest",0,0,"2D",15,"0","0","0","Male","Black",52,"call for service","Tue","Night"
"No Action",0,0,"1D",10,"0","0","0","Male","Black",22,"call for service","Tue","Night"
"No Action",0,0,"1D",10,"0","0","0","Female","Black",22,"call for service","Tue","Night"
"Arrest",0,0,"3D",39,"0","0","1","Male","Black",47,"call for service","Tue","Night"
"Arrest",0,0,"7D",23,"1","1","0","Male","Black",14,"call for service","Tue","Night"
"Arrest",0,0,"6D",30,"0","0","0","Female","Black",16,"call for service","Tue","Night"
"No Action",0,0,"4D",7,"0","0","0","Male","American Indian/Alaska Native",69,"call for service","Tue","Night"
"No Action",0,0,"7D",15,"0","0","0","Male","Black",28,"officer initiated","Mon","Night"
"No Action",0,0,"3D",33,"0","0","0","Male","Black",54,"responding to individual's actions","Mon","Afternoon"
"Warning",0,0,"3D",9,"0","0","1","Female","Hispanic/Latino",41,"officer initiated","Mon","Afternoon"
"Ticket",0,0,"4D",5,"0","0","1","Female","Black",38,"officer initiated","Mon","Afternoon"
"Warning",0,0,"4D",5,"0","0","1","Male","Black",46,"officer initiated","Tue","Night"
"Ticket",0,0,"2D",5,"0","0","1","Male","Black",33,"officer initiated","Mon","Afternoon"
"Ticket",0,0,"3D",5,"0","0","1","Female","White",56,"officer initiated","Mon","Evening"
"Ticket",0,0,"3D",5,"0","0","1","Female","Black",25,"officer initiated","Mon","Night"
"Ticket",0,0,"4D",15,"0","0","1","Male","Hispanic/Latino",38,"officer initiated","Mon","Morning"
"Ticket",0,0,"2D",5,"0","0","1","Male","Unknown",49,"officer initiated","Mon","Night"
"Ticket",0,0,"2D",5,"0","0","1","Male","Black",22,"officer initiated","Mon","Evening"
"No Action",0,0,"7D",20,"0","0","1","Female","Black",28,"officer initiated","Mon","Morning"
"Warning",0,0,"2D",5,"0","0","1","Male","Black",47,"officer initiated","Mon","Afternoon"
"Warning",0,0,"4D",5,"0","0","1","Male","Hispanic/Latino",51,"officer initiated","Mon","Night"
"Ticket",0,0,"3D",5,"0","0","1","Female","White",26,"officer initiated","Mon","Night"
"Warning",0,0,"4D",5,"0","0","1","Female","Black",22,"officer initiated","Mon","Night"
"Ticket",0,0,"4D",20,"0","0","1","Male","Black",28,"traffic response","Mon","Morning"
"Warning",0,0,"4D",10,"0","0","1","Male","Hispanic/Latino",42,"call for service","Mon","Night"
"Ticket",0,0,"2D",5,"0","0","1","Male","White",25,"officer initiated","Mon","Night"
"Ticket",0,0,"2D",5,"0","0","1","Female","White",28,"officer initiated","Mon","Afternoon"
"Warning",0,0,"6D",10,"0","0","1","Male","Black",27,"officer initiated","Mon","Night"
"Ticket",0,0,"3D",5,"0","0","1","Female","White",48,"officer initiated","Mon","Night"
"Ticket",0,0,"3D",20,"0","0","1","Female","White",22,"call for service","Mon","Night"
"Ticket",0,0,"3D",5,"0","0","1","Male","White",35,"officer initiated","Mon","Night"
"Warning",0,0,"3D",10,"0","0","1","Female","Black",30,"officer initiated","Tue","Night"
"Ticket",0,0,"2D",5,"0","0","1","Female","Hispanic/Latino",39,"officer initiated","Mon","Night"
"Warning",0,0,"3D",5,"0","0","1","Female","White",25,"officer initiated","Mon","Afternoon"
"Warning",0,0,"1D",12,"0","0","1","Male","Black",36,"officer initiated","Mon","Afternoon"
"Warning",0,0,"3D",5,"0","0","1","Male","Asian",61,"officer initiated","Mon","Evening"
"Ticket",0,0,"2D",5,"0","0","1","Female","White",21,"officer initiated","Mon","Night"
"Ticket",0,0,"2D",5,"0","0","1","Male","White",75,"officer initiated","Mon","Afternoon"
"Warning",0,0,"3D",5,"0","0","1","Female","White",33,"officer initiated","Tue","Night"
"Warning",0,0,"4D",5,"0","0","1","Female","White",43,"officer initiated","Mon","Evening"
"Ticket",0,0,"3D",10,"0","0","1","Male","Black",33,"officer initiated","Mon","Night"
"Warning",0,0,"2D",5,"0","0","1","Female","White",49,"officer initiated","Mon","Evening"
"Ticket",0,0,"3D",5,"0","0","1","Male","White",40,"officer initiated","Mon","Afternoon"
"Warning",0,0,"3D",5,"0","0","1","Male","Black",52,"officer initiated","Mon","Evening"
"Warning",0,0,"3D",15,"0","0","1","Male","Black",38,"officer initiated","Tue","Night"
"Ticket",0,0,"1D",10,"0","0","1","Male","Black",NA,"officer initiated","Mon","Night"
"Ticket",0,0,"3D",5,"0","0","1","Male","Black",33,"officer initiated","Tue","Night"
"Ticket",0,0,"5D",25,"0","0","1","Male","White",44,"officer initiated","Mon","Afternoon"
"Ticket",0,0,"1D",5,"0","0","1","Female","White",NA,"call for service","Mon","Morning"
"Ticket",0,0,"1D",10,"0","0","1","Female","Asian",65,"officer initiated","Mon","Afternoon"
"Warning",0,0,"NA",9,"0","0","1","Female","White",48,"officer initiated","Mon","Afternoon"
"Warning",0,0,"NA",11,"0","0","1","Male","Black",41,"officer initiated","Mon","Afternoon"
"Ticket",0,0,"NA",30,"0","0","1","Unknown","Unknown",19,"call for service","Mon","Afternoon"
"Arrest",0,0,"6D",5,"0","0","0","Female","Black",14,"call for service","Tue","Night"
"No Action",0,0,"5D",15,"0","0","0","Female","Black",40,"responding to bolo","Tue","Morning"
"No Action",0,0,"5D",15,"0","0","0","Male","Black",42,"responding to bolo","Tue","Morning"
"No Action",0,0,"5D",20,"1","0","0","Female","Black",63,"call for service","Tue","Morning"
"Arrest",0,0,"6D",11,"0","0","0","Female","Black",17,"call for service","Tue","Night"
"Arrest",0,0,"6D",16,"0","0","0","Female","Black",18,"call for service","Tue","Night"
"Arrest",0,0,"2D",5,"0","0","0","Male","Black",48,"warrant/court order","Tue","Morning"
"Arrest",0,0,"1D",5,"1","0","0","Female","Black",14,"warrant/court order","Tue","Morning"
"No Action",0,0,"7D",30,"0","0","0","Female","Black",14,"call for service","Tue","Morning"
"No Action",0,0,"7D",60,"1","0","0","Female","Black",14,"call for service","Tue","Morning"
"Arrest",0,0,"6D",75,"0","0","0","Male","Black",19,"call for service","Tue","Morning"
"Arrest",0,0,"1D",7,"1","0","0","Male","Black",38,"responding to bolo","Tue","Afternoon"
"Arrest",0,0,"2D",5,"0","0","0","Male","Black",31,"call for service","Tue","Morning"
"Arrest",0,0,"6D",1,"0","0","0","Female","Black",27,"warrant/court order","Tue","Afternoon"
"Arrest",0,0,"7D",20,"0","0","1","Female","Black",36,"call for service","Tue","Afternoon"
"No Action",0,0,"7D",10,"0","0","0","Female","Black",35,"call for service","Tue","Afternoon"
"Arrest",0,0,"6D",5,"0","0","0","Female","Black",17,"call for service","Tue","Morning"
"No Action",0,0,"5D",28,"0","0","0","Male","Black",42,"call for service","Tue","Afternoon"
"No Action",0,0,"5D",28,"0","0","0","Female","Black",22,"call for service","Tue","Afternoon"
"No Action",0,0,"5D",5,"0","0","0","Male","Black",14,"call for service","Tue","Afternoon"
"No Action",0,0,"5D",5,"0","0","0","Male","Black",15,"call for service","Tue","Afternoon"
